name,image,actual_price
"Lloyd 1.5 Ton 3 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White, Gls18I3...",images\31UISB90sYL._AC_UL320_.jpg,58990
"LG 1.5 Ton 5 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protectio...",images\51JFb7FctDL._AC_UL320_.jpg,75990
"LG 1 Ton 4 Star Ai Dual Inverter Split Ac (Copper, Super Convertible 6-In-1 Cooling, Hd Filter With Anti Virus Protection,...",images\51JFb7FctDL._AC_UL320_.jpg,61990
"LG 1.5 Ton 3 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protectio...",images\51JFb7FctDL._AC_UL320_.jpg,68990
"Carrier 1.5 Ton 3 Star Inverter Split AC (Copper,ESTER Dxi, 4-in-1 Flexicool Inverter, 2022 Model,R32,White)",images\41lrtqXPiWL._AC_UL320_.jpg,67790
"Voltas 1.4 Ton 3 Star Inverter Split AC(Copper, Adjustable Cooling, Anti-dust Filter, 2023 Model, 173V Vectra Platina, White)",images\41TuyxwZ9mL._AC_UL320_.jpg,70990
"Lloyd 1.0 Ton 3 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White With Chr...",images\31IXlxIPsOL._AC_UL320_.jpg,49990
"Lloyd 1.5 Ton 5 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White With Chr...",images\31IXlxIPsOL._AC_UL320_.jpg,67990
"Carrier 1 Ton 3 Star AI Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling,Dual Filtration with HD & PM 2.5 F...",images\51sTXvsanQL._AC_UL320_.jpg,58190
"Voltas 1.5 Ton, 5 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 185V DAZJ, White)",images\51WQ3nWF0vL._AC_UL320_.jpg,73990
"Redmi 10 Power (Power Black, 8GB RAM, 128GB Storage)",images\81eM15lVcJL._AC_UL320_.jpg,18999
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",images\71AvQd3VzqL._AC_UL320_.jpg,19999
"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs...",images\51UhwaQXCpL._AC_UL320_.jpg,2299
"Samsung Galaxy M33 5G (Mystique Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus | Travel Adapte...",images\81I3w4J6yjL._AC_UL320_.jpg,24999
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)",images\71V--WZVUIL._AC_UL320_.jpg,19999
"Redmi 10 Power (Sporty Orange, 8GB RAM, 128GB Storage)",images\81OZGH4fZiL._AC_UL320_.jpg,18999
"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with mic, 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Ga...",images\51HBom8xz7L._AC_UL320_.jpg,3995
"Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)",images\61vtLhO6fDL._AC_UL320_.jpg,1900
